lifted_target,nl,block,participant,target_name
3,-1039,2,participant_5,box
3,-1045,2,participant_5,box
3,-1092,2,participant_5,box
3,-848,3,participant_5,box
3,-1063,3,participant_5,box
3,-773,3,participant_5,box
3,-893,3,participant_5,box
3,-416,4,participant_5,box
3,-641,4,participant_5,box
3,-374,4,participant_5,box
3,-458,4,participant_5,box
4,-678,1,participant_5,knife
4,-721,1,participant_5,knife
4,-509,1,participant_5,knife
4,-556,1,participant_5,knife
4,-395,2,participant_5,knife
4,-556,2,participant_5,knife
4,-457,2,participant_5,knife
4,-466,2,participant_5,knife
4,-666,3,participant_5,knife
4,-502,3,participant_5,knife
4,-442,3,participant_5,knife
4,-594,3,participant_5,knife
4,-975,4,participant_5,knife
4,-395,4,participant_5,knife
4,-441,4,participant_5,knife
4,-543,4,participant_5,knife
5,-171,1,participant_5,glass
5,-314,1,participant_5,glass
5,-15,1,participant_5,glass
5,-205,1,participant_5,glass
5,-78,2,participant_5,glass
5,-47,2,participant_5,glass
5,-77,2,participant_5,glass
5,-156,2,participant_5,glass
5,512,3,participant_5,glass
5,-188,3,participant_5,glass
5,-142,3,participant_5,glass
5,-156,3,participant_5,glass
5,-447,4,participant_5,glass
5,-188,4,participant_5,glass
5,-360,4,participant_5,glass
5,-200,4,participant_5,glass
6,14,1,participant_5,assembly
6,-613,1,participant_5,assembly
6,-874,1,participant_5,assembly
6,-343,2,participant_5,assembly
6,-999,2,participant_5,assembly
6,-690,2,participant_5,assembly
6,-549,2,participant_5,assembly
6,-348,3,participant_5,assembly
6,-581,3,participant_5,assembly
6,-535,3,participant_5,assembly
6,-361,4,participant_5,assembly
6,-983,4,participant_5,assembly
6,-850,4,participant_5,assembly
6,-968,4,participant_5,assembly
7,-1111,1,participant_5,disk
7,-807,1,participant_5,disk
7,-1027,1,participant_5,disk
7,-660,1,participant_5,disk
7,-1141,2,participant_5,disk
7,-1137,2,participant_5,disk
7,-1003,2,participant_5,disk
7,-718,2,participant_5,disk
7,-1028,3,participant_5,disk
7,-676,3,participant_5,disk
7,-552,3,participant_5,disk
7,-62,3,participant_5,disk
7,-1154,4,participant_5,disk
7,-959,4,participant_5,disk
7,-896,4,participant_5,disk
7,-855,4,participant_5,disk
